rank,title,year,rating,votes,duration,certificate,imdb_url,poster_url
63,Spider-Man: Into the Spider-Verse,2018,8.4,817K,1h 57m,PG,https://www.imdb.com/title/tt4633694/,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX90_CR0,0,90,133_.jpg"
64,The Lives of Others,2006,8.4,447K,2h 17m,R,https://www.imdb.com/title/tt0405094/,"https://m.media-amazon.com/images/M/MV5BYjM1N2Q0YWEtN2E5MC00NDM3LTk2NTEtMTc1NTk5OTA5ZGIzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
65,Sunset Boulevard,1950,8.4,264K,1h 50m,Approved,https://www.imdb.com/title/tt0043014/,"https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_QL75_UX90_CR0,1,90,133_.jpg"
66,Witness for the Prosecution,1957,8.4,164K,1h 56m,Approved,https://www.imdb.com/title/tt0051201/,"https://m.media-amazon.com/images/M/MV5BNjRhNTQzMzQtMWViMi00ODQ1LTg0MTEtYWE4ZWZlYjM4YjJhXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
67,Paths of Glory,1957,8.4,243K,1h 28m,Approved,https://www.imdb.com/title/tt0050825/,"https://m.media-amazon.com/images/M/MV5BNmQ2NmI2ODYtMDQzNS00NzQyLTkzZjgtZmZlYTQ5MTc1OWU3XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
68,Inglourious Basterds,2009,8.4,1.8M,2h 33m,R,https://www.imdb.com/title/tt0361748/,"https://m.media-amazon.com/images/M/MV5BODZhMWJlNjYtNDExNC00MTIzLTllM2ItOGQ2NGVjNDQ3MzkzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
69,The Shining,1980,8.4,1.2M,2h 26m,R,https://www.imdb.com/title/tt0081505/,"https://m.media-amazon.com/images/M/MV5BNmM5ZThhY2ItOGRjOS00NzZiLWEwYTItNDgyMjFkOTgxMmRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
70,The Great Dictator,1940,8.4,260K,2h 5m,G,https://www.imdb.com/title/tt0032553/,"https://m.media-amazon.com/images/M/MV5BMjc4ZjEwNDUtMjlmZS00NzQ4LTg2N2MtMGI3ZjMyMmM3ZDM2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
71,Aliens,1986,8.4,848K,2h 17m,R,https://www.imdb.com/title/tt0090605/,"https://m.media-amazon.com/images/M/MV5BN2ZiMmQ0YWItN2IwZS00Y2NhLWE0NzQtNGNiOGFjN2U4MWNmXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
72,12th Fail,2023,8.7,177K,2h 27m,Not Rated,https://www.imdb.com/title/tt23849204/,"https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_QL75_UY133_CR6,0,90,133_.jpg"
73,High and Low,1963,8.4,74K,2h 23m,Not Rated,https://www.imdb.com/title/tt0057565/,"https://m.media-amazon.com/images/M/MV5BMGJiNzllYjktODAzNS00OGUzLTlmY2MtMjA2ZTZhYTY1OTc4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
74,Avengers: Endgame,2019,8.4,1.5M,3h 1m,PG-13,https://www.imdb.com/title/tt4154796/,"https://m.media-amazon.com/images/M/MV5BMWEyNDM2ZmQtMmFkNi00MTQ1LTk1MjItMzdlZGJlYmIyYzZlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
75,Good Will Hunting,1997,8.4,1.2M,2h 6m,R,https://www.imdb.com/title/tt0119217/,"https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
76,Coco,2017,8.4,727K,1h 45m,PG,https://www.imdb.com/title/tt2380307/,"https://m.media-amazon.com/images/M/MV5BMDIyM2E2NTAtMzlhNy00ZGUxLWI1NjgtZDY5MzhiMDc5NGU3XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
77,Toy Story,1995,8.3,1.2M,1h 21m,G,https://www.imdb.com/title/tt0114709/,"https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
78,The Dark Knight Rises,2012,8.4,2M,2h 44m,PG-13,https://www.imdb.com/title/tt1345836/,"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
79,Amadeus,1984,8.4,473K,2h 40m,PG,https://www.imdb.com/title/tt0086879/,"https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
80,Your Name.,2016,8.4,405K,1h 46m,Not Rated,https://www.imdb.com/title/tt5311514/,"https://m.media-amazon.com/images/M/MV5BMjI1ODZkYTgtYTY3Yy00ZTJkLWFkOTgtZDUyYWM4MzQwNjk0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
81,Idiots,2009,8.4,490K,2h 50m,PG-13,https://www.imdb.com/title/tt1187043/,"https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
82,Das Boot,1981,8.3,291K,2h 29m,Not Rated,https://www.imdb.com/title/tt0082096/,"https://m.media-amazon.com/images/M/MV5BNGU0MWZlMTUtM2Y3Ny00NGNmLWE5NmEtN2YxOWQzMGM3ZWYzXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
